tms_id,customer_code,home_plant,main_service
TMS-001,V555555555555555555_17,PLANT03,DTD
TMS-002,v555555555555555555_42,plant03,DTD
TMS-003,V555555555555555555-45,Plant 03,DTD
TMS-004,  V555555555555555555_46 ,PLANT03,DTD
TMS-005,V555555555555555_023,PLANT03,DTD
TMS-006,V555555555555555_29,plant03,DTP
TMS-007,555555555555555_44,Plant 03,DTD
TMS-008,V5555555555555_8,PLANT03,DTD
TMS-009,v5555555555555_16,PLANT03,DTD
TMS-010,V555555555555_13,plant03,CRF
TMS-011,V55555555555_28,Plant 03,DTP
TMS-012,v5555555555_1,PLANT13,DTP
TMS-013,V555555555-14,PLANT03,DTP
TMS-014,  V555555555_27 ,plant03,DTP
TMS-015,V555555555_003,Plant 03,DTP
TMS-016,V555555555_35,PLANT03,DTP
TMS-017,55555555_0,PLANT03,DTP
TMS-018,V5555555_32,plant03,CRF
TMS-019,v55555555_5,Plant 03,DTP
TMS-020,V55555555_7,PLANT03,DTP
TMS-021,V55555555_9,PLANT12,DTD
TMS-022,v5555555_12,plant03,DTP
TMS-023,V5555555-19,Plant 03,DTD
TMS-024,  V5555555_22 ,PLANT03,DTD
TMS-025,V5555555_030,PLANT03,DTP
TMS-026,V555555_11,plant12,DTD
TMS-027,555555_24,Plant 03,DTP
TMS-028,V55555_34,PLANT03,DTP
TMS-029,v555555_40,PLANT03,DTD
TMS-030,V555555_6,plant03,DTP
TMS-031,V55555_10,Plant 12,DTD
TMS-032,v55555_2,PLANT03,DTP
TMS-033,V55555-26,PLANT03,DTP
TMS-034,  V55555_4 ,plant03,DTP
TMS-035,V55555_053,Plant 16,CRF
TMS-036,V5555_20,PLANT03,DTD
TMS-037,5555_25,PLANT03,DTP
TMS-038,V555_33,plant03,DTP
TMS-039,v5555_36,Plant 03,DTP
TMS-040,V5555_83,PLANT03,DTP
TMS-041,V555_15,PLANT03,DTP
TMS-042,v555_41,plant03,DTD
TMS-043,V55-13,Plant 03,DTP
TMS-044,  V55_37 ,PLANT03,DTP
TMS-045,V55_039,PLANT03,DTP
TMS-046,V55_47,plant03,DTD
TMS-047,V5555555555555555555_54,PLANT10,
TMS-048,V555555555555555_18,PLANT06,
TMS-049,V555555555555555555_18,PLANT03,DTP
TMS-050,V55555_21,PLANT03,DTD
TMS-051,V555555555_43,PLANT03,DTP
TMS-052,V5555555555_48,PLANT12,DTD
