tms_id,brunel_customer,how_it_was_made
TMS-001,V555555555555555555_17,same
TMS-002,V555555555555555555_42,lower
TMS-003,V555555555555555555_45,dash
TMS-004,V555555555555555555_46,spaces
TMS-005,V555555555555555_23,padded
TMS-006,V555555555555555_29,same
TMS-007,V555555555555555_44,no-v
TMS-008,V55555555555555_8,lost-5
TMS-009,V5555555555555_16,lower
TMS-010,V555555555555_31,swapped
TMS-011,V55555555555_28,same
TMS-012,V5555555555_1,lower
TMS-013,V555555555_14,dash
TMS-014,V555555555_27,spaces
TMS-015,V555555555_3,padded
TMS-016,V555555555_35,same
TMS-017,V55555555_0,no-v
TMS-018,V55555555_32,lost-5
TMS-019,V55555555_5,lower
TMS-020,V55555555_7,swapped
TMS-021,V55555555_9,same
TMS-022,V5555555_12,lower
TMS-023,V5555555_19,dash
TMS-024,V5555555_22,spaces
TMS-025,V5555555_30,padded
TMS-026,V555555_11,same
TMS-027,V555555_24,no-v
TMS-028,V555555_34,lost-5
TMS-029,V555555_40,lower
TMS-030,V555555_6,swapped
TMS-031,V55555_10,same
TMS-032,V55555_2,lower
TMS-033,V55555_26,dash
TMS-034,V55555_4,spaces
TMS-035,V55555_53,padded
TMS-036,V5555_20,same
TMS-037,V5555_25,no-v
TMS-038,V5555_33,lost-5
TMS-039,V5555_36,lower
TMS-040,V5555_38,swapped
TMS-041,V555_15,same
TMS-042,V555_41,lower
TMS-043,V55_13,dash
TMS-044,V55_37,spaces
TMS-045,V55_39,padded
TMS-046,V55_47,same
TMS-047,,not in Brunel: VMI customer who never orders
TMS-048,,not in Brunel: VMI customer who never orders
TMS-049,,not in Brunel: invented look-alike
TMS-050,,not in Brunel: invented look-alike
TMS-051,,not in Brunel: invented look-alike
TMS-052,,not in Brunel: invented look-alike
